run_key,experiment,case_id,scenario_group,explicitness,condition,planner_name,repeat_index,success,error,memory_retrieval_precision,memory_retrieval_recall,preference_match,task_coverage,executable_plan,skill_chain_correct,conflict_selection_correct,latency_ms,model,system_fingerprint,prompt_hash,response_id,prompt_tokens,completion_tokens
learning-01-full:clean:clean:no_memory:0,clean,learning-01-full,learning,full,clean,no_memory,0,True,,0.0,0.0,True,True,True,True,True,0.027458000000007976,,,,,0,0
learning-01-full:clean:clean:preference_only:0,clean,learning-01-full,learning,full,clean,preference_only,0,True,,1.0,0.5,True,True,True,True,True,0.15837500000000226,,,,,0,0
learning-01-full:clean:clean:feedback_only:0,clean,learning-01-full,learning,full,clean,feedback_only,0,True,,1.0,0.5,True,True,True,True,True,0.12308400000000941,,,,,0,0
learning-01-full:clean:clean:layered_memory:0,clean,learning-01-full,learning,full,clean,layered_memory,0,True,,1.0,1.0,True,True,True,True,True,0.11116700000000923,,,,,0,0
learning-01-style_only:clean:clean:no_memory:0,clean,learning-01-style_only,learning,style_only,clean,no_memory,0,True,,0.0,0.0,True,False,True,True,True,0.023250000000002435,,,,,0,0
learning-01-style_only:clean:clean:preference_only:0,clean,learning-01-style_only,learning,style_only,clean,preference_only,0,True,,1.0,0.5,True,False,True,True,True,0.12120799999999765,,,,,0,0
learning-01-style_only:clean:clean:feedback_only:0,clean,learning-01-style_only,learning,style_only,clean,feedback_only,0,True,,1.0,0.5,True,True,True,True,True,0.110209,,,,,0,0
learning-01-style_only:clean:clean:layered_memory:0,clean,learning-01-style_only,learning,style_only,clean,layered_memory,0,True,,1.0,1.0,True,True,True,True,True,0.11895800000000234,,,,,0,0
learning-01-item_only:clean:clean:no_memory:0,clean,learning-01-item_only,learning,item_only,clean,no_memory,0,True,,0.0,0.0,False,True,True,True,True,0.02245900000000245,,,,,0,0
learning-01-item_only:clean:clean:preference_only:0,clean,learning-01-item_only,learning,item_only,clean,preference_only,0,True,,1.0,0.5,True,True,True,True,True,0.12666699999999698,,,,,0,0
learning-01-item_only:clean:clean:feedback_only:0,clean,learning-01-item_only,learning,item_only,clean,feedback_only,0,True,,1.0,0.5,False,True,True,True,True,0.11470799999999115,,,,,0,0
learning-01-item_only:clean:clean:layered_memory:0,clean,learning-01-item_only,learning,item_only,clean,layered_memory,0,True,,1.0,1.0,True,True,True,True,True,0.105333000000013,,,,,0,0
learning-01-implicit:clean:clean:no_memory:0,clean,learning-01-implicit,learning,implicit,clean,no_memory,0,True,,0.0,0.0,False,False,True,True,True,0.02416700000000549,,,,,0,0
learning-01-implicit:clean:clean:preference_only:0,clean,learning-01-implicit,learning,implicit,clean,preference_only,0,True,,1.0,0.5,True,False,True,True,True,0.11945800000000284,,,,,0,0
learning-01-implicit:clean:clean:feedback_only:0,clean,learning-01-implicit,learning,implicit,clean,feedback_only,0,True,,1.0,0.5,False,True,True,True,True,0.11008400000001028,,,,,0,0
learning-01-implicit:clean:clean:layered_memory:0,clean,learning-01-implicit,learning,implicit,clean,layered_memory,0,True,,1.0,1.0,True,True,True,True,True,0.10808299999999493,,,,,0,0
learning-02-full:clean:clean:no_memory:0,clean,learning-02-full,learning,full,clean,no_memory,0,True,,0.0,0.0,True,True,True,True,True,0.0174169999999918,,,,,0,0
learning-02-full:clean:clean:preference_only:0,clean,learning-02-full,learning,full,clean,preference_only,0,True,,1.0,0.5,True,True,True,True,True,0.1206249999999992,,,,,0,0
learning-02-full:clean:clean:feedback_only:0,clean,learning-02-full,learning,full,clean,feedback_only,0,True,,1.0,0.5,True,True,True,True,True,0.11508300000000193,,,,,0,0
learning-02-full:clean:clean:layered_memory:0,clean,learning-02-full,learning,full,clean,layered_memory,0,True,,1.0,1.0,True,True,True,True,True,0.10462499999999708,,,,,0,0
learning-02-style_only:clean:clean:no_memory:0,clean,learning-02-style_only,learning,style_only,clean,no_memory,0,True,,0.0,0.0,True,False,True,True,True,0.019792000000004584,,,,,0,0
learning-02-style_only:clean:clean:preference_only:0,clean,learning-02-style_only,learning,style_only,clean,preference_only,0,True,,1.0,0.5,True,False,True,True,True,0.1107090000000005,,,,,0,0
learning-02-style_only:clean:clean:feedback_only:0,clean,learning-02-style_only,learning,style_only,clean,feedback_only,0,True,,1.0,0.5,True,True,True,True,True,0.10487500000000427,,,,,0,0
learning-02-style_only:clean:clean:layered_memory:0,clean,learning-02-style_only,learning,style_only,clean,layered_memory,0,True,,1.0,1.0,True,True,True,True,True,0.10595799999998934,,,,,0,0
learning-02-item_only:clean:clean:no_memory:0,clean,learning-02-item_only,learning,item_only,clean,no_memory,0,True,,0.0,0.0,False,True,True,True,True,0.024790999999996233,,,,,0,0
learning-02-item_only:clean:clean:preference_only:0,clean,learning-02-item_only,learning,item_only,clean,preference_only,0,True,,1.0,0.5,True,True,True,True,True,0.14750000000000874,,,,,0,0
learning-02-item_only:clean:clean:feedback_only:0,clean,learning-02-item_only,learning,item_only,clean,feedback_only,0,True,,1.0,0.5,False,True,True,True,True,0.13820800000000077,,,,,0,0
learning-02-item_only:clean:clean:layered_memory:0,clean,learning-02-item_only,learning,item_only,clean,layered_memory,0,True,,1.0,1.0,True,True,True,True,True,0.11504199999999576,,,,,0,0
learning-02-implicit:clean:clean:no_memory:0,clean,learning-02-implicit,learning,implicit,clean,no_memory,0,True,,0.0,0.0,False,False,True,True,True,0.025207999999998787,,,,,0,0
learning-02-implicit:clean:clean:preference_only:0,clean,learning-02-implicit,learning,implicit,clean,preference_only,0,True,,1.0,0.5,True,False,True,True,True,0.1296660000000005,,,,,0,0
learning-02-implicit:clean:clean:feedback_only:0,clean,learning-02-implicit,learning,implicit,clean,feedback_only,0,True,,1.0,0.5,False,True,True,True,True,0.11312500000000558,,,,,0,0
learning-02-implicit:clean:clean:layered_memory:0,clean,learning-02-implicit,learning,implicit,clean,layered_memory,0,True,,1.0,1.0,True,True,True,True,True,0.11245900000000919,,,,,0,0
learning-03-full:clean:clean:no_memory:0,clean,learning-03-full,learning,full,clean,no_memory,0,True,,0.0,0.0,True,True,True,True,True,0.017500000000003624,,,,,0,0
learning-03-full:clean:clean:preference_only:0,clean,learning-03-full,learning,full,clean,preference_only,0,True,,1.0,0.5,True,True,True,True,True,0.1123749999999979,,,,,0,0
learning-03-full:clean:clean:feedback_only:0,clean,learning-03-full,learning,full,clean,feedback_only,0,True,,1.0,0.5,True,True,True,True,True,0.10245799999999972,,,,,0,0
learning-03-full:clean:clean:layered_memory:0,clean,learning-03-full,learning,full,clean,layered_memory,0,True,,1.0,1.0,True,True,True,True,True,0.10250000000000536,,,,,0,0
learning-03-style_only:clean:clean:no_memory:0,clean,learning-03-style_only,learning,style_only,clean,no_memory,0,True,,0.0,0.0,True,False,True,True,True,0.028000000000000247,,,,,0,0
learning-03-style_only:clean:clean:preference_only:0,clean,learning-03-style_only,learning,style_only,clean,preference_only,0,True,,1.0,0.5,True,False,True,True,True,0.12212499999998683,,,,,0,0
learning-03-style_only:clean:clean:feedback_only:0,clean,learning-03-style_only,learning,style_only,clean,feedback_only,0,True,,1.0,0.5,True,True,True,True,True,0.12204100000000329,,,,,0,0
learning-03-style_only:clean:clean:layered_memory:0,clean,learning-03-style_only,learning,style_only,clean,layered_memory,0,True,,1.0,1.0,True,True,True,True,True,0.10949999999999849,,,,,0,0
learning-03-item_only:clean:clean:no_memory:0,clean,learning-03-item_only,learning,item_only,clean,no_memory,0,True,,0.0,0.0,False,True,True,True,True,0.02070899999999376,,,,,0,0
learning-03-item_only:clean:clean:preference_only:0,clean,learning-03-item_only,learning,item_only,clean,preference_only,0,True,,1.0,0.5,True,True,True,True,True,0.11395799999999734,,,,,0,0
learning-03-item_only:clean:clean:feedback_only:0,clean,learning-03-item_only,learning,item_only,clean,feedback_only,0,True,,1.0,0.5,False,True,True,True,True,0.10545800000000272,,,,,0,0
learning-03-item_only:clean:clean:layered_memory:0,clean,learning-03-item_only,learning,item_only,clean,layered_memory,0,True,,1.0,1.0,True,True,True,True,True,0.11012500000000258,,,,,0,0
learning-03-implicit:clean:clean:no_memory:0,clean,learning-03-implicit,learning,implicit,clean,no_memory,0,True,,0.0,0.0,False,False,True,True,True,0.02462500000000034,,,,,0,0
learning-03-implicit:clean:clean:preference_only:0,clean,learning-03-implicit,learning,implicit,clean,preference_only,0,True,,1.0,0.5,True,False,True,True,True,0.11970799999999615,,,,,0,0
learning-03-implicit:clean:clean:feedback_only:0,clean,learning-03-implicit,learning,implicit,clean,feedback_only,0,True,,1.0,0.5,False,True,True,True,True,0.12724999999999542,,,,,0,0
learning-03-implicit:clean:clean:layered_memory:0,clean,learning-03-implicit,learning,implicit,clean,layered_memory,0,True,,1.0,1.0,True,True,True,True,True,0.11270800000000303,,,,,0,0
learning-04-full:clean:clean:no_memory:0,clean,learning-04-full,learning,full,clean,no_memory,0,True,,0.0,0.0,True,True,True,True,True,0.02312499999999884,,,,,0,0
learning-04-full:clean:clean:preference_only:0,clean,learning-04-full,learning,full,clean,preference_only,0,True,,1.0,0.5,True,True,True,True,True,0.171874999999988,,,,,0,0
learning-04-full:clean:clean:feedback_only:0,clean,learning-04-full,learning,full,clean,feedback_only,0,True,,1.0,0.5,True,True,True,True,True,0.13074999999999892,,,,,0,0
learning-04-full:clean:clean:layered_memory:0,clean,learning-04-full,learning,full,clean,layered_memory,0,True,,1.0,1.0,True,True,True,True,True,0.11733300000001112,,,,,0,0
learning-04-style_only:clean:clean:no_memory:0,clean,learning-04-style_only,learning,style_only,clean,no_memory,0,True,,0.0,0.0,True,False,True,True,True,0.021792000000006584,,,,,0,0
learning-04-style_only:clean:clean:preference_only:0,clean,learning-04-style_only,learning,style_only,clean,preference_only,0,True,,1.0,0.5,True,False,True,True,True,0.1183750000000039,,,,,0,0
learning-04-style_only:clean:clean:feedback_only:0,clean,learning-04-style_only,learning,style_only,clean,feedback_only,0,True,,1.0,0.5,True,True,True,True,True,0.11241599999999019,,,,,0,0
learning-04-style_only:clean:clean:layered_memory:0,clean,learning-04-style_only,learning,style_only,clean,layered_memory,0,True,,1.0,1.0,True,True,True,True,True,0.10958400000000978,,,,,0,0
learning-04-item_only:clean:clean:no_memory:0,clean,learning-04-item_only,learning,item_only,clean,no_memory,0,True,,0.0,0.0,False,True,True,True,True,0.022916000000011705,,,,,0,0
learning-04-item_only:clean:clean:preference_only:0,clean,learning-04-item_only,learning,item_only,clean,preference_only,0,True,,1.0,0.5,True,True,True,True,True,0.12624999999999442,,,,,0,0
learning-04-item_only:clean:clean:feedback_only:0,clean,learning-04-item_only,learning,item_only,clean,feedback_only,0,True,,1.0,0.5,False,True,True,True,True,0.11920800000000953,,,,,0,0
learning-04-item_only:clean:clean:layered_memory:0,clean,learning-04-item_only,learning,item_only,clean,layered_memory,0,True,,1.0,1.0,True,True,True,True,True,0.11150000000000049,,,,,0,0
learning-04-implicit:clean:clean:no_memory:0,clean,learning-04-implicit,learning,implicit,clean,no_memory,0,True,,0.0,0.0,False,False,True,True,True,0.028666999999996112,,,,,0,0
learning-04-implicit:clean:clean:preference_only:0,clean,learning-04-implicit,learning,implicit,clean,preference_only,0,True,,1.0,0.5,True,False,True,True,True,0.1414170000000048,,,,,0,0
learning-04-implicit:clean:clean:feedback_only:0,clean,learning-04-implicit,learning,implicit,clean,feedback_only,0,True,,1.0,0.5,False,True,True,True,True,0.11966700000000385,,,,,0,0
learning-04-implicit:clean:clean:layered_memory:0,clean,learning-04-implicit,learning,implicit,clean,layered_memory,0,True,,1.0,1.0,True,True,True,True,True,0.11545799999999884,,,,,0,0
learning-05-full:clean:clean:no_memory:0,clean,learning-05-full,learning,full,clean,no_memory,0,True,,0.0,0.0,True,True,True,True,True,0.020334000000010732,,,,,0,0
learning-05-full:clean:clean:preference_only:0,clean,learning-05-full,learning,full,clean,preference_only,0,True,,1.0,0.5,True,True,True,True,True,0.12708300000000006,,,,,0,0
learning-05-full:clean:clean:feedback_only:0,clean,learning-05-full,learning,full,clean,feedback_only,0,True,,1.0,0.5,True,True,True,True,True,0.1186249999999972,,,,,0,0
learning-05-full:clean:clean:layered_memory:0,clean,learning-05-full,learning,full,clean,layered_memory,0,True,,1.0,1.0,True,True,True,True,True,0.11499999999999011,,,,,0,0
learning-05-style_only:clean:clean:no_memory:0,clean,learning-05-style_only,learning,style_only,clean,no_memory,0,True,,0.0,0.0,True,False,True,True,True,0.024249999999989558,,,,,0,0
learning-05-style_only:clean:clean:preference_only:0,clean,learning-05-style_only,learning,style_only,clean,preference_only,0,True,,1.0,0.5,True,False,True,True,True,0.13562500000000033,,,,,0,0
learning-05-style_only:clean:clean:feedback_only:0,clean,learning-05-style_only,learning,style_only,clean,feedback_only,0,True,,1.0,0.5,True,True,True,True,True,0.11749999999999261,,,,,0,0
learning-05-style_only:clean:clean:layered_memory:0,clean,learning-05-style_only,learning,style_only,clean,layered_memory,0,True,,1.0,1.0,True,True,True,True,True,0.11954200000000026,,,,,0,0
learning-05-item_only:clean:clean:no_memory:0,clean,learning-05-item_only,learning,item_only,clean,no_memory,0,True,,0.0,0.0,False,True,True,True,True,0.028583999999998166,,,,,0,0
learning-05-item_only:clean:clean:preference_only:0,clean,learning-05-item_only,learning,item_only,clean,preference_only,0,True,,1.0,0.5,True,True,True,True,True,0.1504169999999999,,,,,0,0
learning-05-item_only:clean:clean:feedback_only:0,clean,learning-05-item_only,learning,item_only,clean,feedback_only,0,True,,1.0,0.5,False,True,True,True,True,0.12374999999999192,,,,,0,0
learning-05-item_only:clean:clean:layered_memory:0,clean,learning-05-item_only,learning,item_only,clean,layered_memory,0,True,,1.0,1.0,True,True,True,True,True,0.1197909999999941,,,,,0,0
learning-05-implicit:clean:clean:no_memory:0,clean,learning-05-implicit,learning,implicit,clean,no_memory,0,True,,0.0,0.0,False,False,True,True,True,0.028208000000001787,,,,,0,0
learning-05-implicit:clean:clean:preference_only:0,clean,learning-05-implicit,learning,implicit,clean,preference_only,0,True,,1.0,0.5,True,False,True,True,True,0.13987499999999764,,,,,0,0
learning-05-implicit:clean:clean:feedback_only:0,clean,learning-05-implicit,learning,implicit,clean,feedback_only,0,True,,1.0,0.5,False,True,True,True,True,0.1270000000000021,,,,,0,0
learning-05-implicit:clean:clean:layered_memory:0,clean,learning-05-implicit,learning,implicit,clean,layered_memory,0,True,,1.0,1.0,True,True,True,True,True,0.14579199999999182,,,,,0,0
learning-06-full:clean:clean:no_memory:0,clean,learning-06-full,learning,full,clean,no_memory,0,True,,0.0,0.0,True,True,True,True,True,0.02212499999999784,,,,,0,0
learning-06-full:clean:clean:preference_only:0,clean,learning-06-full,learning,full,clean,preference_only,0,True,,1.0,0.5,True,True,True,True,True,0.12987500000000152,,,,,0,0
learning-06-full:clean:clean:feedback_only:0,clean,learning-06-full,learning,full,clean,feedback_only,0,True,,1.0,0.5,True,True,True,True,True,0.11583399999999522,,,,,0,0
learning-06-full:clean:clean:layered_memory:0,clean,learning-06-full,learning,full,clean,layered_memory,0,True,,1.0,1.0,True,True,True,True,True,0.11837499999999002,,,,,0,0
learning-06-style_only:clean:clean:no_memory:0,clean,learning-06-style_only,learning,style_only,clean,no_memory,0,True,,0.0,0.0,True,False,True,True,True,0.028166999999995612,,,,,0,0
learning-06-style_only:clean:clean:preference_only:0,clean,learning-06-style_only,learning,style_only,clean,preference_only,0,True,,1.0,0.5,True,False,True,True,True,0.14570800000000828,,,,,0,0
learning-06-style_only:clean:clean:feedback_only:0,clean,learning-06-style_only,learning,style_only,clean,feedback_only,0,True,,1.0,0.5,True,True,True,True,True,0.12404200000000476,,,,,0,0
learning-06-style_only:clean:clean:layered_memory:0,clean,learning-06-style_only,learning,style_only,clean,layered_memory,0,True,,1.0,1.0,True,True,True,True,True,0.11950000000000849,,,,,0,0
learning-06-item_only:clean:clean:no_memory:0,clean,learning-06-item_only,learning,item_only,clean,no_memory,0,True,,0.0,0.0,False,True,True,True,True,0.02437500000000703,,,,,0,0
learning-06-item_only:clean:clean:preference_only:0,clean,learning-06-item_only,learning,item_only,clean,preference_only,0,True,,1.0,0.5,True,True,True,True,True,0.1297919999999897,,,,,0,0
learning-06-item_only:clean:clean:feedback_only:0,clean,learning-06-item_only,learning,item_only,clean,feedback_only,0,True,,1.0,0.5,False,True,True,True,True,0.12283300000001662,,,,,0,0
learning-06-item_only:clean:clean:layered_memory:0,clean,learning-06-item_only,learning,item_only,clean,layered_memory,0,True,,1.0,1.0,True,True,True,True,True,0.11887500000001827,,,,,0,0
learning-06-implicit:clean:clean:no_memory:0,clean,learning-06-implicit,learning,implicit,clean,no_memory,0,True,,0.0,0.0,False,False,True,True,True,0.03166599999998576,,,,,0,0
learning-06-implicit:clean:clean:preference_only:0,clean,learning-06-implicit,learning,implicit,clean,preference_only,0,True,,1.0,0.5,True,False,True,True,True,0.14562500000001033,,,,,0,0
